"","location_name","date","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","est_infections_mean","est_infections_lower","est_infections_upper"
"30435","Florida","2020-09-25",74.5308802682267,28.1910465180016,141.352219089531,5099.89444085929,1989.50015598834,9912.98528928906
"30436","Florida","2020-09-26",72.8927028842918,27.7467742375235,138.548444702016,5067.38679332553,1979.96749260295,9873.19864630289
"30437","Florida","2020-09-27",71.3238261133455,27.302970285183,135.576747884622,5039.95559625231,1972.25478670979,9841.2242981893
"30438","Florida","2020-09-28",69.8277899464968,26.6962691163092,132.824142604892,5017.68469307766,1966.35879509058,9842.89507269477
"30439","Florida","2020-09-29",68.400327295255,26.341235871446,130.54729716325,5000.55638366687,1962.47775638048,9811.64443433061
"30440","Florida","2020-09-30",67.0438430203546,25.776613223455,127.635273803026,4985.20423706151,1959.38217079239,9798.80266390676
"30441","Florida","2020-10-01",65.760230936473,25.3332272856736,126.157851717323,4971.71154825669,1957.05534999138,9786.53356436636
"30442","Florida","2020-10-02",64.5323870462911,25.0169094740206,124.591798900781,4966.58447134944,1957.38110345257,9798.73128806455
"30443","Florida","2020-10-03",63.346950306112,24.7185935839503,122.587981804611,4969.41559213138,1960.22488858476,9815.17565483786
"30444","Florida","2020-10-04",62.2121214352521,24.380494013529,120.84947810048,4976.75883292648,1964.5584135199,9844.48136238772
"30445","Florida","2020-10-05",61.1324139516236,23.8482418494177,118.853915611187,4988.69325603214,1970.65291902311,9882.0161492914
"30446","Florida","2020-10-06",60.104246349929,23.5407849359257,116.604704785692,5005.24980011661,1981.4997677532,9927.66876799809
"30447","Florida","2020-10-07",59.1310555724661,23.2997895782616,114.60471775097,5022.78395430002,1992.47768283058,9975.26931109009
"30448","Florida","2020-10-08",58.2444658671823,23.0719893255416,112.837593998661,5041.32533305144,2003.60688424138,10024.8580539125
"30449","Florida","2020-10-09",57.4532009619754,22.7523943655143,111.933810973007,5068.10146183935,2017.72560363021,10089.11054803
"30450","Florida","2020-10-10",56.7429912009192,22.4498877845808,110.714229723406,5102.90533477884,2034.7580308401,10180.1542827941
"30451","Florida","2020-10-11",56.1261281306815,22.1640093231113,109.556891541433,5142.08226219174,2049.55992713366,10263.0892349091
"30452","Florida","2020-10-12",55.6140759940051,21.9410796536872,108.659790297095,5185.81561994133,2063.3791280929,10354.4264965278
"30453","Florida","2020-10-13",55.1827387744883,21.7806678999739,107.975277526309,5234.23385111725,2078.94506783532,10454.6690096689
"30454","Florida","2020-10-14",54.8128708043823,21.664747556145,107.2945295754,5283.29059438353,2095.03438894013,10559.7260795589
"30455","Florida","2020-10-15",54.5115062356426,21.4764097090691,107.012361037512,5332.95018897397,2111.60109325582,10666.3692925426
"30456","Florida","2020-10-16",54.263564719187,21.3719719268548,106.584635558384,5391.42469985919,2129.37369950637,10788.8150036374
"30457","Florida","2020-10-17",54.0557522265074,21.2892700535741,106.243116006255,5458.70028255966,2149.85697482927,10955.5689369726
"30458","Florida","2020-10-18",53.8978721663072,21.2286634519845,106.004711589204,5530.76943846619,2171.82891841987,11125.2319638627
"30459","Florida","2020-10-19",53.7961735685542,21.1872044056014,105.845897148245,5607.92147546576,2195.37634722963,11312.4313525849
"30460","Florida","2020-10-20",53.7479152490833,21.1547265069024,105.867869063603,5690.38328612429,2224.45281694718,11513.5146916429
"30461","Florida","2020-10-21",53.7582169596601,21.13118727909,105.846287658504,5773.53486397681,2253.53766081622,11715.1978145279
"30462","Florida","2020-10-22",53.8326739500485,21.1730522828656,105.98295925777,5857.24606701442,2282.59808624871,11918.1570633166
"30463","Florida","2020-10-23",53.9545024245353,21.2726467975654,106.267170534401,5951.03577230714,2314.82422243422,12142.1072320563
"30464","Florida","2020-10-24",54.1091243707983,21.3889479466097,106.751389269068,6055.10113700497,2350.22675620326,12361.0967279797
"30465","Florida","2020-10-25",54.3076547605723,21.5069586346464,107.709711433144,6164.92781787072,2387.27778607747,12572.336064
"30466","Florida","2020-10-26",54.5578620347093,21.6268962735353,108.455545422703,6280.92720705836,2426.08954648785,12855.8712954898
"30467","Florida","2020-10-27",54.8577174198562,21.7785439707306,109.104926984033,6403.43980734611,2459.629282624,13186.7720997031
"30468","Florida","2020-10-28",55.213861089731,21.8657448307867,109.911219800727,6527.07480146684,2492.8573051637,13483.2112372182
"30469","Florida","2020-10-29",55.6337206493666,21.9458179682421,110.807503158824,6651.57053096965,2526.10721142674,13769.550721027
"30470","Florida","2020-10-30",56.0998663981945,22.055329715306,111.886928478805,6788.14971202498,2563.72318304181,14080.5785212347
